age,earnings,industry,home_geoid,work_geoid
mid,high,other,060014418001,060816118001
high,high,other,060014418001,060816118001
low,high,trade_trans_util,060014425001,060816118001
low,high,other,060014425001,060816118001
mid,high,other,060014425002,060816118001
mid,high,other,060014425002,060816118001
high,high,other,060014425002,060816118002
high,high,other,060014425003,060816118001
high,high,other,060014425003,060816118001
mid,high,other,060014425003,060816118001
high,high,other,060014425003,060816118001
high,high,other,060014425003,060816118001
high,high,other,060014425004,060816118001
mid,high,other,060014425004,060816118001
mid,high,goods_prod,060014426011,060816118001
mid,high,goods_prod,060014426011,060816118001
mid,high,other,060014426011,060816118001
high,high,goods_prod,060014426011,060816118001
high,high,goods_prod,060014426011,060816118001
mid,high,goods_prod,060014426011,060816118001
high,high,goods_prod,060014426011,060816118001
high,high,goods_prod,060014426011,060816118001
mid,high,other,060014426012,060816118001
mid,high,other,060014426012,060816118001
mid,high,goods_prod,060014426012,060816118001
mid,high,other,060014426012,060816118001
mid,high,other,060014426012,060816118001
mid,high,goods_prod,060014426012,060816118001
mid,high,other,060014426012,060816118001
low,high,goods_prod,060014426021,060816118001
mid,high,goods_prod,060014426021,060816118001
mid,high,goods_prod,060014426022,060816118001
mid,high,goods_prod,060014426022,060816118001
low,high,other,060014427001,060816118001
mid,high,other,060014427001,060816118001
mid,high,goods_prod,060014427001,060816118001
low,high,other,060014427001,060816119002
low,high,other,060014427003,060816118001
mid,high,goods_prod,060014428001,060816118001
high,high,goods_prod,060014428001,060816118001
low,high,goods_prod,060014428001,060816118001
mid,high,goods_prod,060014428001,060816118001
mid,high,other,060014429001,060816118001
low,high,other,060014429001,060816118001
low,high,other,060014429001,060816118001
high,high,other,060014429003,060816118002
mid,high,other,060014429004,060816118001
mid,high,other,060014441001,060816118001
mid,high,other,060014441001,060816118001
mid,high,other,060014441001,060816118001
high,high,other,060014441001,060816118001
mid,high,other,060014441002,060816118001
mid,high,other,060014441002,060816118001
mid,high,other,060014441002,060816118001
mid,high,other,060014441002,060816118001
high,high,other,060014441003,060816118001
mid,high,other,060014441003,060816118001
low,high,other,060014441003,060816118001
mid,high,other,060014441003,060816118001
mid,high,other,060014441003,060816118001
mid,high,other,060014441003,060816118002
mid,mid,other,060014441003,060816119002
low,high,other,060014441004,060816118001
low,high,other,060014441004,060816118001
mid,high,other,060014442001,060816118001
mid,high,other,060014442001,060816118001
mid,high,other,060014442002,060816118001
mid,high,other,060014442002,060816118001
mid,high,other,060014442002,060816118001
mid,high,goods_prod,060014442003,060816118001
mid,high,other,060014442003,060816118001
mid,mid,goods_prod,060014442003,060816118001
mid,high,other,060014442003,060816118001
mid,high,other,060014442003,060816118001
mid,high,other,060014442003,060816118001
mid,high,goods_prod,060014442003,060816118001
mid,mid,other,060014442003,060816118001
mid,high,goods_prod,060014442003,060816118001
mid,high,other,060014442003,060816118001
mid,high,trade_trans_util,060014442003,060816118001
low,high,other,060014443011,060816118002
mid,mid,other,060014443012,060816118001
mid,high,other,060014443012,060816118001
low,high,other,060014443012,060816118001
mid,mid,other,060014443012,060816118001
mid,high,other,060014443012,060816118001
mid,high,other,060014443012,060816118002
mid,mid,other,060014443021,060816118001
high,high,other,060014443021,060816118001
high,high,other,060014443021,060816118001
mid,mid,other,060014443021,060816118001
mid,mid,other,060014443021,060816118001
mid,high,other,060014443021,060816118001
mid,mid,other,060014443021,060816118001
mid,mid,other,060014443021,060816118001
mid,high,other,060014443022,060816118001
mid,high,other,060014443022,060816118001
mid,high,other,060014443022,060816118001
mid,high,other,060014443022,060816118001
mid,high,other,060014443022,060816118001
low,high,other,060014443022,060816118001
mid,high,other,060014443022,060816118001
mid,high,other,060014443022,060816118001
mid,high,other,060014443022,060816118001
high,high,other,060014443022,060816118001
mid,high,other,060014444001,060816118001
mid,high,other,060014444001,060816118001
mid,high,other,060014444001,060816118001
high,high,goods_prod,060014444001,060816118001
mid,high,other,060014444001,060816118001
low,mid,other,060014444001,060816118001
low,high,goods_prod,060014444001,060816118001
mid,mid,goods_prod,060014444002,060816118001
mid,high,goods_prod,060014444002,060816118001
mid,high,goods_prod,060014444002,060816118001
mid,high,goods_prod,060014444002,060816118001
high,high,goods_prod,060014444002,060816118001
mid,high,other,060014444002,060816118001
high,low,other,060014444003,060816118001
mid,high,other,060014445001,060816118001
mid,high,other,060014445002,060816118001
mid,high,other,060014445002,060816118001
mid,high,other,060014445002,060816118002
high,high,other,060014445003,060816118001
high,high,other,060014445003,060816118001
high,high,other,060014445003,060816118001
high,high,goods_prod,060014445003,060816118001
high,high,other,060014445003,060816118001
mid,high,other,060014445003,060816118001
mid,high,other,060014445003,060816118002
mid,high,other,060014445004,060816118001
mid,high,other,060014445004,060816118001
low,low,other,060014445004,060816119001
low,low,other,060014445004,060816119002
high,high,other,060014446011,060816118001
high,high,goods_prod,060014446011,060816118001
mid,high,other,060014446011,060816118001
mid,high,other,060014446011,060816118001
high,high,goods_prod,060014446011,060816118001
low,mid,other,060014446011,060816118002
mid,high,other,060014446012,060816118001
mid,high,other,060014446012,060816118001
mid,high,other,060014446012,060816118001
mid,high,other,060014446012,060816118001
high,high,other,060014446021,060816118001
mid,high,other,060014446021,060816118001
low,high,trade_trans_util,060014446022,060816118001
low,high,other,060014446022,060816118001
mid,high,goods_prod,060816080011,060816118001
mid,high,goods_prod,060816080011,060816118001
mid,low,other,060816080012,060816118001
mid,high,other,060816080012,060816118001
mid,high,other,060816080021,060816118001
mid,high,other,060816080021,060816118001
mid,high,other,060816080022,060816118001
high,high,other,060816080022,060816118001
mid,high,other,060816080041,060816118001
mid,mid,other,060816080041,060816118002
mid,high,other,060816080043,060816118001
mid,high,other,060816080043,060816118001
mid,high,other,060816080043,060816118001
high,high,goods_prod,060816080131,060816118001
low,high,goods_prod,060816080131,060816118001
high,high,other,060816080131,060816118001
mid,high,other,060816080131,060816118002
high,high,other,060816080132,060816118001
high,high,goods_prod,060816080133,060816118001
mid,high,goods_prod,060816080133,060816118001
high,high,goods_prod,060816080133,060816118001
high,high,trade_trans_util,060816080231,060816118001
low,high,other,060816080231,060816118001
high,high,other,060816080231,060816118001
low,high,other,060816080232,060816118001
low,high,other,060816080232,060816118001
mid,high,other,060816080232,060816118001
mid,low,other,060816080232,060816118001
mid,high,other,060816081001,060816118001
mid,high,goods_prod,060816081001,060816118001
mid,high,other,060816081001,060816118001
high,high,goods_prod,060816081001,060816118001
mid,high,goods_prod,060816081001,060816118001
mid,high,other,060816081001,060816118001
mid,high,goods_prod,060816081001,060816118001
mid,high,other,060816083001,060816118001
mid,high,other,060816083001,060816118001
mid,high,other,060816083001,060816118001
low,high,other,060816083002,060816118001
mid,high,other,060816083002,060816118001
low,high,other,060816083002,060816118001
mid,high,goods_prod,060816085021,060816118001
mid,high,goods_prod,060816085021,060816118001
mid,high,goods_prod,060816085021,060816118001
mid,high,goods_prod,060816085021,060816118001
mid,high,other,060816086001,060816118001
mid,high,goods_prod,060816086002,060816118001
high,high,other,060816086002,060816118002
mid,high,other,060816086003,060816118001
mid,high,other,060816086003,060816118001
mid,high,other,060816086003,060816118001
mid,high,other,060816086003,060816118002
mid,mid,other,060816087002,060816118001
low,mid,goods_prod,060816087002,060816118001
mid,high,other,060816087005,060816118001
low,high,other,060816089002,060816118001
low,high,other,060816089002,060816118001
mid,high,other,060816089002,060816118001
mid,high,other,060816090002,060816118001
mid,high,goods_prod,060816090002,060816118001
high,high,goods_prod,060816091001,060816118001
mid,low,other,060816091001,060816118002
mid,low,other,060816091001,060816118002
high,high,other,060816091002,060816118001
high,high,goods_prod,060816091002,060816118001
high,high,goods_prod,060816091002,060816118001
high,high,other,060816092011,060816118001
high,high,trade_trans_util,060816092011,060816118001
high,high,other,060816092011,060816118001
high,high,trade_trans_util,060816092011,060816118001
high,high,goods_prod,060816092011,060816118001
low,high,trade_trans_util,060816092011,060816118001
low,high,other,060816092012,060816118001
mid,high,other,060816092021,060816118001
high,high,other,060816092021,060816118001
mid,high,other,060816092021,060816118002
mid,high,other,060816092022,060816118001
mid,high,other,060816092022,060816118001
mid,mid,trade_trans_util,060816093001,060816119002
mid,high,goods_prod,060816094001,060816118001
mid,high,goods_prod,060816094001,060816118001
low,high,goods_prod,060816094001,060816118001
high,high,other,060816094001,060816118001
high,high,other,060816094001,060816118001
mid,high,other,060816094001,060816118001
mid,high,other,060816095001,060816118001
high,high,other,060816095001,060816118002
mid,high,other,060816095002,060816118001
mid,high,other,060816095002,060816118001
high,high,other,060816095002,060816118001
high,high,other,060816095002,060816118001
low,high,goods_prod,060816096011,060816118001
mid,high,goods_prod,060816096011,060816118001
mid,high,goods_prod,060816096011,060816118001
mid,high,other,060816096011,060816118001
mid,high,other,060816096011,060816118001
mid,high,goods_prod,060816096011,060816118001
high,high,goods_prod,060816096011,060816118001
mid,high,other,060816096011,060816118001
high,high,goods_prod,060816096011,060816118001
mid,high,other,060816096011,060816118001
high,high,other,060816096011,060816118002
high,high,other,060816096011,060816118002
mid,high,other,060816096021,060816118001
mid,high,other,060816096021,060816118001
high,high,other,060816096021,060816118001
mid,high,other,060816096021,060816118001
mid,high,other,060816096021,060816118001
mid,high,other,060816096021,060816118001
mid,high,other,060816096021,060816118001
mid,high,other,060816096021,060816118001
mid,mid,other,060816096031,060816118001
mid,mid,other,060816096031,060816118001
mid,high,other,060816096031,060816118001
high,high,other,060816096031,060816118001
high,low,other,060816096032,060816118001
high,high,other,060816096033,060816118001
mid,high,other,060816096033,060816118001
high,high,goods_prod,060816096033,060816118001
mid,high,other,060816096034,060816118001
mid,high,other,060816097001,060816118001
mid,high,other,060816097001,060816118001
mid,high,goods_prod,060816097001,060816118001
mid,high,other,060816097001,060816118001
high,high,other,060816097001,060816118001
mid,high,other,060816097001,060816118001
high,high,goods_prod,060816097001,060816118001
mid,high,other,060816097001,060816118002
mid,high,other,060816097001,060816118002
high,high,other,060816097002,060816118001
high,high,other,060816097002,060816118001
high,high,goods_prod,060816097002,060816118001
high,high,other,060816097002,060816118001
low,low,other,060816097002,060816118002
low,high,other,060816097002,060816118002
high,high,other,060816098001,060816118001
high,high,trade_trans_util,060816098001,060816118001
mid,high,other,060816098001,060816118001
mid,high,other,060816098002,060816118001
high,high,goods_prod,060816098002,060816118001
high,high,other,060816098002,060816118001
high,high,other,060816098002,060816118001
mid,high,trade_trans_util,060816098003,060816118001
mid,high,trade_trans_util,060816098003,060816118001
mid,high,other,060816098004,060816118001
mid,high,other,060816098004,060816118001
mid,high,other,060816098004,060816118001
mid,low,other,060816099001,060816118001
mid,low,other,060816099001,060816118001
high,high,other,060816099001,060816118001
high,high,other,060816099001,060816118001
mid,high,other,060816099001,060816119001
mid,low,other,060816099002,060816118001
mid,low,other,060816099002,060816118001
mid,high,other,060816099002,060816118002
low,high,other,060816100001,060816118001
mid,high,trade_trans_util,060816100001,060816118001
mid,mid,trade_trans_util,060816100001,060816118001
mid,low,trade_trans_util,060816100001,060816118001
mid,high,other,060816100001,060816118001
low,high,goods_prod,060816100001,060816118001
mid,high,goods_prod,060816100001,060816118001
mid,low,goods_prod,060816100001,060816118001
mid,high,other,060816100001,060816118001
high,high,other,060816100001,060816118002
mid,mid,goods_prod,060816100002,060816118001
mid,high,other,060816100002,060816118001
high,high,other,060816100003,060816118001
mid,high,trade_trans_util,060816100003,060816118001
high,high,goods_prod,060816100003,060816118001
mid,high,goods_prod,060816100003,060816118001
high,high,goods_prod,060816100003,060816118001
high,high,other,060816100003,060816118001
mid,high,goods_prod,060816101001,060816118001
mid,high,other,060816101001,060816118001
mid,high,other,060816101001,060816118001
mid,high,other,060816101001,060816118001
high,high,other,060816101001,060816118001
mid,high,other,060816101001,060816118001
mid,high,trade_trans_util,060816101001,060816118001
low,high,other,060816102011,060816118001
high,mid,other,060816102012,060816118001
high,mid,other,060816102012,060816118001
high,high,goods_prod,060816102013,060816118001
high,high,goods_prod,060816102013,060816118001
high,high,other,060816102014,060816118001
mid,high,other,060816102014,060816118001
mid,high,other,060816102014,060816118001
mid,high,goods_prod,060816102014,060816118001
mid,high,other,060816102014,060816118001
mid,high,goods_prod,060816102014,060816118001
mid,high,goods_prod,060816102014,060816118001
low,high,other,060816102021,060816118001
low,high,other,060816102021,060816118001
mid,high,other,060816102021,060816118001
mid,high,other,060816102021,060816118001
mid,high,other,060816102021,060816118001
mid,mid,other,060816102021,060816118001
low,high,other,060816102021,060816118001
mid,high,other,060816102021,060816118001
mid,high,other,060816102021,060816118001
high,mid,other,060816102021,060816118002
mid,mid,other,060816102031,060816119002
low,mid,other,060816102032,060816118001
mid,mid,other,060816102032,060816118001
mid,mid,other,060816102032,060816118001
low,high,other,060816103021,060816118001
mid,high,other,060816103021,060816118001
low,high,other,060816103021,060816118001
mid,high,other,060816103021,060816118001
mid,high,other,060816103021,060816118001
mid,high,goods_prod,060816103021,060816118001
mid,high,other,060816103021,060816118001
mid,high,other,060816103031,060816118001
mid,high,other,060816103031,060816118001
mid,high,other,060816103032,060816118001
mid,high,other,060816103032,060816118001
mid,high,other,060816103032,060816118001
mid,mid,other,060816103032,060816118001
mid,high,other,060816103032,060816118001
mid,high,other,060816103033,060816118001
mid,high,other,060816103033,060816118001
mid,high,other,060816103033,060816118001
mid,high,other,060816103033,060816118002
low,high,other,060816103034,060816118001
low,high,trade_trans_util,060816103034,060816118001
mid,high,other,060816103034,060816118001
high,high,other,060816103041,060816118001
low,high,other,060816103041,060816118001
low,high,other,060816103041,060816118001
high,high,other,060816103042,060816118001
high,high,other,060816103042,060816118002
high,high,other,060816103043,060816118001
mid,high,other,060816103043,060816118001
mid,high,other,060816103043,060816118001
mid,low,goods_prod,060816104001,060816118001
mid,high,other,060816104001,060816118001
high,high,goods_prod,060816104001,060816118001
low,high,other,060816104001,060816118001
mid,high,goods_prod,060816104001,060816118001
mid,high,goods_prod,060816104001,060816118001
low,high,other,060816104001,060816118001
low,mid,other,060816104001,060816118002
mid,high,goods_prod,060816104002,060816118001
mid,mid,goods_prod,060816104002,060816118001
mid,mid,trade_trans_util,060816104002,060816118001
mid,high,goods_prod,060816104002,060816118001
mid,mid,goods_prod,060816104002,060816118001
mid,high,other,060816104002,060816118001
mid,mid,other,060816104002,060816118001
mid,mid,other,060816104002,060816118001
low,mid,goods_prod,060816104002,060816118001
mid,mid,other,060816104002,060816118002
low,mid,other,060816104002,060816119001
mid,high,other,060816105001,060816118001
high,high,other,060816105001,060816118001
high,high,other,060816105001,060816118001
mid,high,goods_prod,060816105002,060816118001
mid,high,other,060816105002,060816118001
mid,high,goods_prod,060816105002,060816118001
mid,high,trade_trans_util,060816105002,060816118001
high,high,goods_prod,060816105003,060816118001
mid,high,other,060816105003,060816118001
mid,high,other,060816105003,060816118001
mid,high,other,060816105004,060816118001
mid,high,other,060816105004,060816118001
mid,high,other,060816105004,060816118001
mid,high,other,060816106011,060816118001
mid,high,other,060816106011,060816118001
low,mid,goods_prod,060816106012,060816118001
low,mid,goods_prod,060816106012,060816118001
mid,mid,goods_prod,060816106012,060816118001
mid,high,other,060816106013,060816118001
mid,high,goods_prod,060816106013,060816118001
low,low,other,060816106013,060816118001
mid,mid,other,060816106013,060816118002
mid,high,other,060816106022,060816118001
mid,high,trade_trans_util,060816106023,060816118001
mid,high,other,060816106023,060816118001
mid,high,trade_trans_util,060816106023,060816118001
low,high,other,060816107001,060816118001
low,mid,other,060816107001,060816118001
mid,mid,other,060816107001,060816118001
mid,high,other,060816107001,060816118001
mid,high,other,060816107001,060816118001
mid,high,goods_prod,060816107001,060816118001
mid,high,other,060816107001,060816119001
mid,high,trade_trans_util,060816107002,060816118001
mid,mid,other,060816107002,060816118001
low,high,other,060816107002,060816118001
mid,high,trade_trans_util,060816107002,060816118001
mid,mid,other,060816108001,060816118001
mid,mid,other,060816108001,060816118001
mid,high,other,060816108001,060816118001
mid,high,other,060816108001,060816118001
mid,mid,other,060816108001,060816118001
mid,high,other,060816108001,060816118001
mid,high,other,060816108001,060816118002
mid,high,other,060816108001,060816118002
mid,mid,other,060816108002,060816118001
mid,mid,other,060816108002,060816118001
mid,high,other,060816108002,060816118001
mid,high,goods_prod,060816108002,060816118001
mid,mid,other,060816108002,060816118001
low,high,trade_trans_util,060816109001,060816118001
mid,high,other,060816109001,060816118001
mid,high,other,060816109001,060816118001
high,high,goods_prod,060816109001,060816118001
mid,high,goods_prod,060816109001,060816118001
low,high,goods_prod,060816109001,060816118001
low,high,goods_prod,060816109002,060816118001
high,high,goods_prod,060816109002,060816118001
high,high,other,060816109002,060816118001
mid,high,other,060816109003,060816118001
high,high,trade_trans_util,060816109003,060816118001
mid,high,trade_trans_util,060816109003,060816118001
mid,mid,trade_trans_util,060816109003,060816118001
mid,high,other,060816109004,060816118001
mid,high,other,060816109004,060816118001
mid,high,goods_prod,060816109004,060816118001
high,low,other,060816110001,060816118001
mid,low,goods_prod,060816110001,060816118001
mid,mid,goods_prod,060816110002,060816118001
high,high,goods_prod,060816110002,060816118001
high,high,other,060816110002,060816118001
mid,high,goods_prod,060816110002,060816118001
mid,high,other,060816110003,060816118001
mid,high,other,060816110003,060816118001
mid,high,other,060816110003,060816118001
mid,high,other,060816110003,060816118001
mid,high,goods_prod,060816110004,060816118001
mid,mid,other,060816110004,060816118001
mid,high,goods_prod,060816110004,060816118001
mid,low,other,060816110004,060816118001
mid,high,other,060816110004,060816118001
high,high,other,060816110004,060816118001
mid,high,goods_prod,060816110004,060816118001
mid,mid,other,060816110004,060816118001
mid,high,other,060816110004,060816118001
high,high,other,060816111001,060816118001
mid,high,other,060816111001,060816118001
low,high,other,060816111001,060816118001
high,high,other,060816111001,060816118001
high,high,other,060816111001,060816118001
high,low,other,060816111001,060816118001
mid,high,other,060816111001,060816118001
low,high,other,060816111001,060816118001
high,high,other,060816111001,060816118001
mid,high,other,060816111002,060816118001
low,high,other,060816111003,060816118001
mid,high,other,060816111003,060816118001
mid,high,other,060816111003,060816118001
mid,high,other,060816111003,060816118001
high,high,other,060816111003,060816118001
mid,high,other,060816112001,060816118001
mid,low,goods_prod,060816112001,060816118001
mid,high,other,060816112001,060816118001
mid,high,other,060816112001,060816118001
mid,low,goods_prod,060816112001,060816118001
mid,low,other,060816112001,060816118001
mid,low,goods_prod,060816112001,060816118001
low,low,goods_prod,060816112001,060816118001
mid,high,goods_prod,060816112001,060816118001
low,high,goods_prod,060816112001,060816118001
mid,high,goods_prod,060816113001,060816118001
mid,high,other,060816113001,060816118001
mid,high,other,060816113001,060816118001
high,high,other,060816113001,060816118001
mid,high,goods_prod,060816113002,060816118001
high,high,goods_prod,060816113002,060816118001
mid,high,other,060816113002,060816118001
mid,high,other,060816113002,060816118001
high,high,other,060816113002,060816118001
mid,high,other,060816113003,060816118001
mid,high,other,060816113003,060816118001
mid,high,other,060816113003,060816118001
high,high,goods_prod,060816113004,060816118001
high,high,goods_prod,060816113004,060816118001
high,high,goods_prod,060816113004,060816118001
low,high,other,060816114001,060816119001
high,high,other,060816114002,060816118001
high,high,goods_prod,060816114002,060816118001
low,low,other,060816114004,060816118001
mid,high,other,060816114004,060816118002
high,high,other,060816115001,060816118001
mid,high,other,060816115002,060816118001
high,high,goods_prod,060816115002,060816118001
mid,high,goods_prod,060816115003,060816118001
mid,high,other,060816115003,060816118001
low,high,goods_prod,060816115003,060816118001
mid,high,other,060816115003,060816118001
low,high,other,060816115003,060816118001
mid,high,other,060816115003,060816118001
mid,high,goods_prod,060816116001,060816118001
mid,high,goods_prod,060816116001,060816118001
high,high,other,060816116001,060816118001
mid,high,goods_prod,060816116001,060816118001
mid,high,other,060816116001,060816118001
mid,high,other,060816116001,060816118001
mid,high,other,060816116001,060816119002
mid,mid,other,060816116002,060816118001
mid,high,goods_prod,060816116002,060816118001
mid,mid,other,060816116002,060816118001
mid,high,goods_prod,060816116002,060816118001
mid,high,other,060816117001,060816118001
mid,high,goods_prod,060816117001,060816118001
high,high,other,060816117001,060816118001
mid,high,goods_prod,060816117001,060816118001
high,high,goods_prod,060816117001,060816118001
mid,high,other,060816117001,060816118001
high,high,goods_prod,060816117001,060816118001
mid,high,goods_prod,060816117001,060816118001
high,mid,other,060816117001,060816118001
mid,high,other,060816117001,060816118002
mid,high,other,060816117001,060816118002
mid,high,other,060816117001,060816118002
high,mid,other,060816117001,060816118002
mid,mid,other,060816117001,060816119001
mid,mid,other,060816117001,060816119001
mid,mid,other,060816117001,060816119001
low,low,other,060816117002,060816118001
high,high,other,060816117002,060816118001
high,mid,trade_trans_util,060816117002,060816118001
mid,mid,other,060816117002,060816118001
high,high,other,060816117002,060816118001
low,mid,other,060816117002,060816118001
mid,high,other,060816117002,060816118001
mid,mid,other,060816117002,060816118001
mid,high,other,060816117002,060816118001
mid,high,other,060816117002,060816118001
mid,high,other,060816117002,060816118001
mid,mid,trade_trans_util,060816117002,060816118001
high,mid,other,060816117002,060816118001
mid,mid,other,060816117002,060816118001
low,high,other,060816117002,060816118002
mid,high,other,060816117002,060816118002
mid,high,other,060816117002,060816118002
mid,high,other,060816117002,060816118002
mid,high,other,060816117002,060816118002
mid,mid,other,060816117002,060816118002
mid,mid,other,060816117002,060816118002
mid,high,other,060816117002,060816118002
mid,high,other,060816117002,060816118002
mid,low,other,060816117002,060816118002
mid,mid,other,060816117002,060816119001
high,mid,other,060816117002,060816119001
high,mid,other,060816117002,060816119001
high,mid,other,060816117002,060816119001
mid,high,other,060816117003,060816118001
mid,high,other,060816117003,060816118001
low,high,other,060816117003,060816118001
mid,high,other,060816117003,060816118001
mid,high,other,060816117003,060816118001
mid,high,other,060816117003,060816118001
low,mid,goods_prod,060816117003,060816118001
mid,high,other,060816117003,060816118001
low,low,other,060816117003,060816118001
mid,high,other,060816117003,060816118001
mid,high,other,060816117003,060816118001
mid,high,other,060816117003,060816118001
mid,high,other,060816117003,060816118001
mid,high,other,060816117003,060816118002
mid,mid,other,060816117003,060816118002
mid,high,other,060816117003,060816118002
mid,high,other,060816117003,060816118002
high,mid,goods_prod,060816117003,060816119001
mid,low,other,060816118001,060014403042
mid,mid,goods_prod,060816118001,060014403311
mid,low,other,060816118001,060014403332
mid,mid,other,060816118001,060014403332
low,low,other,060816118001,060014415031
mid,high,other,060816118001,060014415031
mid,high,other,060816118001,060014415031
mid,low,other,060816118001,060014415031
low,high,trade_trans_util,060816118001,060014415031
mid,high,other,060816118001,060014415031
mid,high,trade_trans_util,060816118001,060014415031
low,low,other,060816118001,060014415031
mid,low,other,060816118001,060014415031
low,low,trade_trans_util,060816118001,060014415031
low,mid,trade_trans_util,060816118001,060014415031
high,low,other,060816118001,060014415241
mid,high,other,060816118001,060014417001
low,mid,trade_trans_util,060816118001,060014443022
mid,low,goods_prod,060816118001,060014445004
mid,high,other,060816118001,060014445004
mid,high,other,060816118001,060014446022
low,high,trade_trans_util,060816118001,060816086002
low,high,trade_trans_util,060816118001,060816086002
low,high,trade_trans_util,060816118001,060816086002
mid,high,trade_trans_util,060816118001,060816087002
low,mid,other,060816118001,060816089002
high,mid,other,060816118001,060816090001
high,mid,other,060816118001,060816090001
mid,high,goods_prod,060816118001,060816091001
high,high,goods_prod,060816118001,060816091001
mid,mid,goods_prod,060816118001,060816091001
